epoch,accuracy,loss,val_accuracy,val_loss
0,0.25532063841819763,1.9330941438674927,0.3195876181125641,1.7093735933303833
1,0.3451879322528839,1.6455062627792358,0.2596823573112488,1.9049134254455566
2,0.4180222153663635,1.4866217374801636,0.42546671628952026,1.4678776264190674
3,0.46873801946640015,1.3711235523223877,0.47088325023651123,1.4080402851104736
4,0.5079939961433411,1.2894210815429688,0.48843687772750854,1.33766508102417
5,0.5334563851356506,1.2287708520889282,0.5319030284881592,1.2441784143447876
6,0.5498623847961426,1.184652328491211,0.5271663665771484,1.2434266805648804
7,0.5623672008514404,1.1490203142166138,0.5327389240264893,1.2557504177093506
8,0.580305814743042,1.114593267440796,0.5689607262611389,1.1464793682098389
9,0.5878644585609436,1.0930404663085938,0.5567010045051575,1.2062907218933105
10,0.5976523160934448,1.0667921304702759,0.5873502492904663,1.11329984664917
11,0.604758083820343,1.0443391799926758,0.5759264230728149,1.0891140699386597
12,0.6142324805259705,1.0273410081863403,0.592086911201477,1.073869228363037
13,0.6215124130249023,1.0121431350708008,0.5898578763008118,1.0889084339141846
14,0.628409206867218,0.9922917485237122,0.5957090854644775,1.078413486480713
15,0.6351666450500488,0.9790747165679932,0.5957090854644775,1.0880075693130493
16,0.6388589143753052,0.9615088105201721,0.6010030508041382,1.0839873552322388
17,0.6446410417556763,0.9476460814476013,0.6199498176574707,1.0404192209243774
18,0.6501097083091736,0.934572160243988,0.576762318611145,1.1856735944747925
19,0.6555435657501221,0.9247872829437256,0.606854259967804,1.086668610572815
20,0.6581907868385315,0.9140397906303406,0.6110337376594543,1.065782904624939
21,0.6661325693130493,0.9007031917572021,0.6046252250671387,1.0990310907363892
22,0.670068621635437,0.8857711553573608,0.6280301213264465,0.9894719123840332
23,0.6736911535263062,0.8747353553771973,0.6021175980567932,1.0803349018096924
24,0.6775227189064026,0.8639339208602905,0.6299805045127869,1.0072039365768433
25,0.6820857524871826,0.8571516275405884,0.6146559119224548,1.0295846462249756
26,0.6829565763473511,0.8503643870353699,0.6319308876991272,0.9984703063964844
27,0.6890173554420471,0.8374689221382141,0.6171635389328003,1.0642340183258057
28,0.6940680742263794,0.8222547173500061,0.6146559119224548,1.068609595298767
29,0.6990839242935181,0.8146100044250488,0.6308164000511169,1.039504885673523
